id,passage,claim,verdict,source_quote,source_excerpt_preview,approve
l3-s2_31ed0429c2b40d4893abf74a362a54d816e0b312-multi-5,"Sample size n=80 with 75% power (Arnet et al., 2013).",Sample size n=80,supported,"The average MPR estimates were 80 % for a patient with 6 medications/20 refill dates, 90 % for a patient with 4 medications/11 refill dates, and 89 % for a patient with 3 medications/17 refill dates.","The average MPR estimates were 80 % for a patient with 6 medications/20 refill dates, 90 % for a patient with 4 medications/11 refill dates, and 89 % for a patient with 3 medicatio...",
l3-s2_d1211a55fd8f618216cc36a2e05aedf2ca4f5aed-weak-2,"Prior findings indicate ethnic minority, female, and drug-using patients be less likely to receive highly active antiretroviral therapy (HAART), despite its proven benefits (Giordano et al., 2003).","Ethnic minority, female, and drug-using patients be less likely to receive highly active antiretroviral therapy (HAART), despite its proven benefits.",weak,"Ethnic minority, female, and drug-using patients may be less likely to receive highly active antiretroviral therapy (HAART), despite its proven benefits.","Ethnic minority, female, and drug-using patients may be less likely to receive highly active antiretroviral therapy (HAART), despite its proven benefits. We reviewed the medical re...",
l3-s2_c51bd898799ad048b218a33c9d12ee5bc210b38f-multi-8,"Sample size n=13 with Participants: We analyzed 13,320 pregnancies among 10,741 wo (Krans et al., 2021).",Sample size n=13,supported,"Findings: Among 13,320 pregnancies, 306 (2.3%) were complicated by an overdose, 1,753 (13.2%) resulted in a preterm birth and 6,787 (50.9%) continued MOUD postpartum.","Findings: Among 13,320 pregnancies, 306 (2.3%) were complicated by an overdose, 1,753 (13.2%) resulted in a preterm birth and 6,787 (50.9%) continued MOUD postpartum. Participants:...",
l3-s2_64141f8dee387de9a4c502ad0f3853b23bd6c140-ins-6,"Researchers reported that results Of patients, 82 were identified and 78 were available for outcome analysis; 32% received T-DM1 as first- and second-line line therapy, and 48% received it as fourth-line treatment or later (Dzimitrowicz et al., 2016).","Results Of patients, 82 were identified and 78 were available for outcome analysis; 32% received T-DM1 as first- and second-line line therapy, and 48% received it as fourth-line treatment or later.",insufficient_evidence,,"Purpose Ado-trastuzumab emtansine (T-DM1) is currently approved for treatment in patients with human epidermal growth factor receptor 2 (HER2)-positive, metastatic breast cancer (M...",
l3-s2_c9c512eec55e0358c9becacd4d9c4b3347b4a86c-multi-5,"Sample size n=19 with ferentially affected by COVID-19 because of three factors: t (Shakespeare et al., 2021).",Sample size n=19,supported,"Older age, deprivation, and comorbidities are also associated with increased risk of severe outcomes from COVID-19.","Older age, deprivation, and comorbidities are also associated with increased risk of severe outcomes from COVID-19. People with disabilities have been differentially affected by CO...",
l3-oa_w2560438049-multi-5,"Sample size n=1030 with Their searches, with 1030 records and 273 records, were uplo (Ouzzani et al., 2016).",Sample size n=1030,supported,The second review (1030 records) required several iterations to identify the previously identified 11 trials.,"The second review (1030 records) required several iterations to identify the previously identified 11 trials. Their searches, with 1030 records and 273 records, were uploaded to Ra...",
l3-s2_e99981a6b574045d9b108281752ccdcf48e4ad33-sup-0,"The paper states that among the 65 articles referencing the diseases/symptoms, this practice was shown to be mostly associated with respiratory system problems (100.0%), diarrhea (40.0%), and Urinary Tract Infections (30.8%) (Batista et al., 2020).","Among the 65 articles referencing the diseases/symptoms, this practice was shown to be mostly associated with respiratory system problems (100.0%), diarrhea (40.0%), and Urinary Tract Infections (30.8",supported,"Among the 65 articles referencing the diseases/symptoms, this practice was shown to be mostly associated with respiratory system problems (100.0%), diarrhea (40.0%), and Urinary Tract Infections (30.8%).","...(39.3%), and amoxicillin-clavulanic acid (39.3%). Among the 65 articles referencing the diseases/symptoms, this practice was shown to be mostly associated with respiratory system problems (100.0%), diarrhea (40.0%), and Urinary Tr...",
l3-s2_523d31124f3a12e667221189eb53580781e9a871-multip-6,"Results The overall response rate was 83%, and identical hospital costs (Maharajan et al., 2017).",Results The overall response rate was 83%.,supported,Results The overall response rate was 83%.,Results The overall response rate was 83%. Cost analyses were beyond the scope of this report.,
l3-s2_71ddf0d34e7448011728f209af5cd4a706e60cd1-ins-6,"Prior findings indicate rESULTS: Three hundred eight patients (male/female ratio: 1:1, mean time on HAART: 22 months) were interviewed (Eholie et al., 2007).","RESULTS: Three hundred eight patients (male/female ratio: 1:1, mean time on HAART: 22 months) were interviewed.",insufficient_evidence,,METHODS: A standardized questionnaire was administered to all consecutive adults on HAART who attended 3 urban HIV outpatient clinics.,
l3-s2_df65e23d7e860193c9c99f2319f8c39d47075e6a-sup-0,"More than 40% offered EPS for asthma, diabetes, methadone, herbal medicines, hypertension and wound care (Berbatis et al., 2007).","More than 40% offered EPS for asthma, diabetes, methadone, herbal medicines, hypertension and wound care.",supported,"More than 40% offered EPS for asthma, diabetes, methadone, herbal medicines, hypertension and wound care.","... Australia's community pharmacies offered ≥1 EPS. More than 40% offered EPS for asthma, diabetes, methadone, herbal medicines, hypertension and wound care. Pharmacies with higher turnover (odds ratio (OR), 1.90; 99% confidence int...",
