id,passage,claim,verdict,source_quote,source_excerpt_preview,approve
l3-oa_w4251751280-nis-2,"vaccination coverage reached 95% nationwide and eliminated the pathogen (Tamura et al., 2021).",vaccination coverage reached 95% nationwide and eliminated the pathogen,not_in_source,,"Abstract The Molecular Evolutionary Genetics Analysis (MEGA) software has matured to contain a large collection of methods and tools of computational molecular evolution. Here, we ...",
l3-s2_a8d7a2328eba40f560575ae98f4790f851ffb599-nisthin-3,"air pollution levels were unrelated to any respiratory outcomes (Gordon et al., 2012).",air pollution levels were unrelated to any respiratory outcomes,not_in_source,,UNLABELLED: Hepatitis C virus (HCV) infection increases total healthcare costs but the effect of the severity of liver disease associated with chronic hepatitis C (CHC) on healthca...,
l3-oa_w4315754639-con-1,"In this work, this progress increasingly reflects advances in treatment, which are particularly evident in the rapid declines in mortality (approximately 3% annually during 2016 through 2020) for leukemia, melanoma, and kidney cancer, despite stable/increasing incidence, and accelerated declines for lung cancer (Siegel","This progress increasingly reflects advances in treatment, which are particularly evident in the rapid declines in mortality (approximately 3% annually during 2016 through 2020) for leukemia, melanoma",contradicted,"This progress increasingly reflects advances in treatment, which are particularly evident in the rapid declines in mortality (approximately 2% annually during 2016 through 2020) for leukemia, melanoma, and kidney cancer, despite stable/increasing incidence, and accelerated declines for lung cancer.","...1991 and an estimated 3.8 million deaths averted. This progress increasingly reflects advances in treatment, which are particularly evident in the rapid declines in mortality (approximately 2% annually during 2016 through 2020) fo...",
l3-s2_6f1ae4dd33e63e7a1a23c1a3fa41feb680f8c2e8-sup-0,"Researchers reported that most of the studies involving pharmacists showed significant improvement in suboptimal prescribing at one or more time points (Castelino et al., 2009).",Most of the studies involving pharmacists showed significant improvement in suboptimal prescribing at one or more time points.,supported,Most of the studies involving pharmacists showed significant improvement in suboptimal prescribing at one or more time points.,"...sensus on the best approach has not been reached. Most of the studies involving pharmacists showed significant improvement in suboptimal prescribing at one or more time points. However, most of these interventions were directed to...",
l3-s2_7eaf9344c6e6df2a39594a91b24132576b66867d-sup-0,"Hospitals having comprehensive resources as well as those with more limited resources were considered (Rudis et al., 2000).",Hospitals having comprehensive resources as well as those with more limited resources were considered.,supported,Hospitals having comprehensive resources as well as those with more limited resources were considered.,...f pharmaceutical care to critically ill patients. Hospitals having comprehensive resources as well as those with more limited resources were considered. Data Sources. Consensus of critical care pharmacists from institutions of var...,
l3-s2_088c9a09063c3affa851d059f0fb4b4eb2fb579f-sup-0,"The paper states that also, more patients were influenced to receive the vaccination as a result of one of the pharmacist-driven interventions rather than a physician (P=0.0260) or other source (P<0.0001) (Wang et al., 2013).","Also, more patients were influenced to receive the vaccination as a result of one of the pharmacist-driven interventions rather than a physician (P=0.0260) or other source (P<0.0001).",supported,"Also, more patients were influenced to receive the vaccination as a result of one of the pharmacist-driven interventions rather than a physician (P=0.0260) or other source (P<0.0001).","...tervention period (P<0.0001 for all comparisons). Also, more patients were influenced to receive the vaccination as a result of one of the pharmacist-driven interventions rather than a physician (P=0.0260) or other source (P<0.000...",
l3-s2_fd96c4e6709b06da828fbfec8ae659ef90a619ea-ins-4,"Prior findings indicate use of long-acting opioids increased over 17-fold between 1990 and 2000, due primarily to the subsidy of long-acting morphine and increased use of methadone for pain management (Karanges et al., 2016).","Use of long-acting opioids increased over 17-fold between 1990 and 2000, due primarily to the subsidy of long-acting morphine and increased use of methadone for pain management.",insufficient_evidence,,"METHODS We obtained dispensing data from 1990 to 2014 from two sources: dispensing claims processed under Australia's national drug subsidy programme, the Pharmaceutical Benefits S...",
l3-s2_cbdb3b0ae527f28f3a2ac3b5cca4d9b0d88821f4-con-1,"In this work, a health plan member was defined as anyone who was eligible for pharmacy and medical benefits at any time from October 2, 2003, to September 30, 2004 (Zhang et al., 2006).","A health plan member was defined as anyone who was eligible for pharmacy and medical benefits at any time from October 2, 2003, to September 30, 2004.",contradicted,"A health plan member was defined as anyone who was eligible for pharmacy and medical benefits at any time from October 1, 2003, to September 30, 2004.","...rmacy claims for 1.7 million health plan members. A health plan member was defined as anyone who was eligible for pharmacy and medical benefits at any time from October 1, 2003, to September 30, 2004. To be included in the study, ...",
l3-s2_5222728dc5a545ba4a6d9652a1b0156418a450a8-nis-1,"In this work, blockchain adoption cut administrative costs by half across hospitals (Jacob et al., 2024).",blockchain adoption cut administrative costs by half across hospitals,not_in_source,,Millets are ancient small grains grown in arid and semiarid regions of the world. They are staple food for many people in Asia and Africa. They are abundant sources of minerals and...,
l3-s2_742f99a7c56f77f135aa0f8b348a469e13b779b5-ins-5,"Researchers reported that rESULTS: A total of 1,425 problems and 2,040 interventions were recorded by 308 pharmacy practitioners (Westerlund et al., 2001).","RESULTS: A total of 1,425 problems and 2,040 interventions were recorded by 308 pharmacy practitioners.",insufficient_evidence,,OBJECTIVE: To document the number and types of drug-related problems (DRPs) identified in customers purchasing nonprescription products in Swedish pharmacies; describe the distribu...,
l3-s2_f8bc1e2bef1dbaaf38137fee92ec5966588cc418-weak-2,"In this work, oUR SITUATION As pharmacy educators, we often encounter situations such as designing new curricula or establishing shared values for an organization that be ambiguous or controversial (Olsen et al., 2021).","OUR SITUATION As pharmacy educators, we often encounter situations such as designing new curricula or establishing shared values for an organization that be ambiguous or controversial.",weak,"OUR SITUATION As pharmacy educators, we often encounter situations such as designing new curricula or establishing shared values for an organization that may be ambiguous or controversial.","OUR SITUATION As pharmacy educators, we often encounter situations such as designing new curricula or establishing shared values for an organization that may be ambiguous or contro...",
l3-s2_fb8e8fddb9d841afc0b4a383b380c40214a96b45-ins-4,"Prior findings indicate rESULTS Of the 153 potential participants who either completed an expression of interest to participate (135/153) or agreed to participate after direct contact (18/153), 59 confirmed that they would attend the focus group discussion (39%); 49 of the 59 (dropout rate: 17%) participated in one of ","RESULTS Of the 153 potential participants who either completed an expression of interest to participate (135/153) or agreed to participate after direct contact (18/153), 59 confirmed that they would a",insufficient_evidence,,BACKGROUND Focus group discussions typically involve face-to-face facilitation. OBJECTIVE(S) This study aims to describe an entirely online approach to: recruiting for and facilita...,
l3-oa_w2164598857-sup-0,"The paper states that used in real-time applications, the detector runs at 15 frames per second without resorting to image differencing or skin color detection (Viola & Jones, 2005).","Used in real-time applications, the detector runs at 15 frames per second without resorting to image differencing or skin color detection.",supported,"Used in real-time applications, the detector runs at 15 frames per second without resorting to image differencing or skin color detection.","...on rates comparable to the best previous systems. Used in real-time applications, the detector runs at 15 frames per second without resorting to image differencing or skin color detection.",
l3-s2_aeb5f7fee0512401fd8c4411877bb08fe83a1d2e-sup-0,"RESULTS: The overall levels of influenza vaccination coverage of employees increased from 43% (3,892 of 9,050) during the 2005-2006 season to 66.5% (6,123 of 9,214) during the 2006-2007 season (Ribner et al., 2008).","RESULTS: The overall levels of influenza vaccination coverage of employees increased from 43% (3,892 of 9,050) during the 2005-2006 season to 66.5% (6,123 of 9,214) during the 2006-2007 season.",supported,"RESULTS: The overall levels of influenza vaccination coverage of employees increased from 43% (3,892 of 9,050) during the 2005-2006 season to 66.5% (6,123 of 9,214) during the 2006-2007 season.","... correlation with job category and work location. RESULTS: The overall levels of influenza vaccination coverage of employees increased from 43% (3,892 of 9,050) during the 2005-2006 season to 66.5% (6,123 of 9,214) during the 2006...",
l3-s2_42454c09f67b37d1c38d86b7c90230370cf0f813-sup-0,"RESULTS: Some prescriptions were incomplete, common use of abbreviations, and health care providers were often interrupted or distracted during prescription (Silva et al., 2007).","RESULTS: Some prescriptions were incomplete, common use of abbreviations, and health care providers were often interrupted or distracted during prescription.",supported,"RESULTS: Some prescriptions were incomplete, common use of abbreviations, and health care providers were often interrupted or distracted during prescription.","...s, and interview of 40 health care professionals. RESULTS: Some prescriptions were incomplete, common use of abbreviations, and health care providers were often interrupted or distracted during prescription. During the dispensing ...",
l3-s2_e732fb5a2efef06231266857cd1f2fff5e4f3e2d-sup-0,"In this work, results: Factors associated with herbal supplement use include age older than 70, having a higher than high school education, using prescription medications or over-the-counter (OTC) medications, and using a mail-order pharmacy.” All Disease state associated significantly with herbal use (Rashrash et al.,","Results: Factors associated with herbal supplement use include age older than 70, having a higher than high school education, using prescription medications or over-the-counter (OTC) medications, and ",supported,"Results: Factors associated with herbal supplement use include age older than 70, having a higher than high school education, using prescription medications or over-the-counter (OTC) medications, and using a mail-order pharmacy.” All Disease state associated significantly with herbal use.","... were assessed with logistic regression analysis. Results: Factors associated with herbal supplement use include age older than 70, having a higher than high school education, using prescription medications or over-the-counter (OT...",
l3-s2_f922ab79169808dfc868a31a7aa14a1533f4976a-sup-0,"Prior findings indicate fourteen percent of use conformed to an NCCN-supported off-label indication, and 10% of off-label use was associated with an FDA-approved cancer site, but an NCCN-unsupported cancer stage and/or line of therapy (Conti et al., 2013).","Fourteen percent of use conformed to an NCCN-supported off-label indication, and 10% of off-label use was associated with an FDA-approved cancer site, but an NCCN-unsupported cancer stage and/or line ",supported,"Fourteen percent of use conformed to an NCCN-supported off-label indication, and 10% of off-label use was associated with an FDA-approved cancer site, but an NCCN-unsupported cancer stage and/or line of therapy.","...ounted to 70%, and off-label use amounted to 30%. Fourteen percent of use conformed to an NCCN-supported off-label indication, and 10% of off-label use was associated with an FDA-approved cancer site, but an NCCN-unsupported cance...",
